Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6CGC6	Q6CGC6_YARLI	unreviewed	Mannan endo-1,6-alpha-mannosidase (EC 3.2.1.101)	YALI0_A20438g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	492
Q6CCJ0	Q6CCJ0_YARLI	unreviewed	Separase (EC 3.4.22.49)	YALI0_C08960g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1646
Q6C949	Q6C949_YARLI	unreviewed	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	YALI0_D14080g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	471
Q6CDS3	Q6CDS3_YARLI	unreviewed	YALI0B21604p	YALI0_B21604g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	317
Q6CAI4	Q6CAI4_YARLI	unreviewed	Threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	YALI0_D02497g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	529
Q6CG54	Q6CG54_YARLI	unreviewed	YALI0B00770p	YALI0_B00770g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	137
Q6CF88	Q6CF88_YARLI	unreviewed	Vacuolar calcium ion transporter	YALI0_B09273g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	400
Q6C3C4	Q6C3C4_YARLI	unreviewed	YALI0F00858p	YALI0_F00858g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	436
Q6C5Q7	Q6C5Q7_YARLI	unreviewed	Protein-tyrosine-phosphatase (EC 3.1.3.48)	YALI0_E16038g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	564
Q6C0L3	Q6C0L3_YARLI	unreviewed	YALI0F23705p	YALI0_F23705g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	306
Q6C972	Q6C972_YARLI	unreviewed	YALI0D13508p	YALI0_D13508g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	223
Q6C9L8	Q6C9L8_YARLI	unreviewed	YALI0D10087p	YALI0_D10087g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	516
Q6CF62	Q6CF62_YARLI	unreviewed	YALI0B09999p	YALI0_B09999g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	344
Q6C1Q3	Q6C1Q3_YARLI	unreviewed	Transcription initiation factor IIE subunit beta	YALI0_F14355g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	265
Q6C034	Q6C034_YARLI	unreviewed	YALI0F28127p	YALI0_F28127g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	209
Q6C3A2	Q6C3A2_YARLI	unreviewed	YALI0F01430p	YALI0_F01430g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	338
Q6CD00	Q6CD00_YARLI	unreviewed	YALI0C05126p	YALI0_C05126g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	620
Q6CI75	Q6CI75_YARLI	unreviewed	YALI0A00957p	YALI0_A00957g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	150
Q6CER1	Q6CER1_YARLI	unreviewed	YALI0B13728p	YALI0_B13728g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	339
Q6C792	Q6C792_YARLI	unreviewed	YALI0E02706p	YALI0_E02706g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1399
Q6CGI3	Q6CGI3_YARLI	unreviewed	Glycogen debrancher (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debranching enzyme)	YALI0_A19074g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1494
Q6C3Q1	Q6C3Q1_YARLI	unreviewed	YALI0E33055p	YALI0_E33055g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	273
Q6C852	Q6C852_YARLI	unreviewed	YALI0D22638p	YALI0_D22638g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	513
Q6CCM6	Q6CCM6_YARLI	unreviewed	YALI0C08184p	YALI0_C08184g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	383
F2Z672	F2Z672_YARLI	unreviewed	Phosphotransferase (EC 2.7.1.-)	YALI0_B22308g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	534
Q6C7V8	Q6C7V8_YARLI	unreviewed	YALI0D24970p	YALI0_D24970g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	324
Q6C8T8	Q6C8T8_YARLI	unreviewed	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase)	YALI0_D17072g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	149
Q6CAV6	Q6CAV6_YARLI	unreviewed	YALI0C24013p	YALI0_C24013g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	415
Q6CDX8	Q6CDX8_YARLI	unreviewed	YALI0B20394p	YALI0_B20394g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	488
Q6C1T7	Q6C1T7_YARLI	unreviewed	YALI0F13475p	YALI0_F13475g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	422
Q6CGJ0	Q6CGJ0_YARLI	unreviewed	YALI0A18920p	YALI0_A18920g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	562
Q6C003	Q6C003_YARLI	unreviewed	YALI0F29183p	YALI0_F29183g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	215
Q6C3X3	Q6C3X3_YARLI	unreviewed	YALI0E31515p	YALI0_E31515g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	327
Q6C2A1	Q6C2A1_YARLI	unreviewed	YALI0F09515p	YALI0_F09515g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	142
Q6CCQ2	Q6CCQ2_YARLI	unreviewed	YALI0C07546p	YALI0_C07546g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	482
Q6C1B2	Q6C1B2_YARLI	unreviewed	YALI0F17754p	YALI0_F17754g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	243
Q6CDP3	Q6CDP3_YARLI	unreviewed	Trafficking protein particle complex subunit	YALI0_B22396g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	135
Q6C228	Q6C228_YARLI	unreviewed	YALI0F11363p	YALI0_F11363g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	210
Q6CDY0	Q6CDY0_YARLI	unreviewed	Triacylglycerol lipase (EC 3.1.1.3)	YALI0_B20350g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	376
Q6CCE4	Q6CCE4_YARLI	unreviewed	YALI0C10076p	YALI0_C10076g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	529
Q6CCK3	Q6CCK3_YARLI	unreviewed	YALI0C08679p	YALI0_C08679g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	122
Q6C7G6	Q6C7G6_YARLI	unreviewed	YALI0E00990p	YALI0_E00990g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	207
Q6CG04	Q6CG04_YARLI	unreviewed	YALI0B02024p	YALI0_B02024g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	222
Q6CH75	Q6CH75_YARLI	unreviewed	YALI0A11649p	YALI0_A11649g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	753
Q6CA19	Q6CA19_YARLI	unreviewed	YALI0D06611p	YALI0_D06611g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	129
Q6C6X1	Q6C6X1_YARLI	unreviewed	YALI0E05577p	YALI0_E05577g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	394
Q6C8G0	Q6C8G0_YARLI	unreviewed	YALI0D19976p	YALI0_D19976g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	529
B5FVC6	B5FVC6_YARLI	unreviewed	YALI0C15323p	YALI0_C15323g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	70
B5FVH4	B5FVH4_YARLI	unreviewed	YALI0E08392p	YALI0_E08392g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	149
Q6CDU1	Q6CDU1_YARLI	unreviewed	YALI0B21208p	YALI0_B21208g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	247
Q6C699	Q6C699_YARLI	unreviewed	YALI0E11209p	YALI0_E11209g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	447
Q6C9Y0	Q6C9Y0_YARLI	unreviewed	YALI0D07458p	YALI0_D07458g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	375
Q6CHV6	Q6CHV6_YARLI	unreviewed	YALI0A04521p	YALI0_A04521g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	243
Q6C408	Q6C408_YARLI	unreviewed	YALI0E30767p	YALI0_E30767g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	209
Q6C1K3	Q6C1K3_YARLI	unreviewed	YALI0F15543p	YALI0_F15543g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	519
Q6C250	Q6C250_YARLI	unreviewed	YALI0F10824p	YALI0_F10824g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	203
Q6C743	Q6C743_YARLI	unreviewed	YALI0E03916p	YALI0_E03916g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	155
Q6CHK9	Q6CHK9_YARLI	unreviewed	YALI0A07777p	YALI0_A07777g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	136
Q6CHK4	Q6CHK4_YARLI	unreviewed	YALI0A07887p	YALI0_A07887g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	266
Q6C1A2	Q6C1A2_YARLI	unreviewed	YALI0F18018p	YALI0_F18018g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	200
Q6C3A9	Q6C3A9_YARLI	unreviewed	YALI0F01188p	YALI0_F01188g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	629
Q6C1C0	Q6C1C0_YARLI	unreviewed	YALI0F17578p	YALI0_F17578g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	379
Q6C6T8	Q6C6T8_YARLI	unreviewed	YALI0E06391p	YALI0_E06391g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	469
Q6C017	Q6C017_YARLI	unreviewed	YALI0F28545p	YALI0_F28545g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	450
Q6CBM2	Q6CBM2_YARLI	unreviewed	YALI0C17347p	YALI0_C17347g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	647
Q6C7J6	Q6C7J6_YARLI	unreviewed	YALI0E00264p	YALI0_E00264g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	522
Q6C9X4	Q6C9X4_YARLI	unreviewed	YALI0D07590p	YALI0_D07590g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	471
Q6C3P7	Q6C3P7_YARLI	unreviewed	YALI0E33143p	YALI0_E33143g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	292
Q6CI01	Q6CI01_YARLI	unreviewed	YALI0A02937p	YALI0_A02937g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	205
Q6CEN0	Q6CEN0_YARLI	unreviewed	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	YALI0_B14399g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	299
F2Z697	F2Z697_YARLI	unreviewed	YALI0C22616p	YALI0_C22616g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	836
Q6C3P9	Q6C3P9_YARLI	unreviewed	YALI0E33099p	YALI0_E33099g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	771
Q6CDL5	Q6CDL5_YARLI	unreviewed	YALI0B23012p	YALI0_B23012g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	355
Q6C7G7	Q6C7G7_YARLI	unreviewed	YALI0E00968p	YALI0_E00968g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	685
Q6C545	Q6C545_YARLI	unreviewed	YALI0E21109p	YALI0_E21109g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	391
Q6C6W5	Q6C6W5_YARLI	unreviewed	YALI0E05709p	YALI0_E05709g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	372
Q6C127	Q6C127_YARLI	unreviewed	YALI0F19756p	YALI0_F19756g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	294
Q6CAH2	Q6CAH2_YARLI	unreviewed	YALI0D02783p	YALI0_D02783g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	858
Q6CCK9	Q6CCK9_YARLI	unreviewed	YALI0C08547p	YALI0_C08547g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	385
Q6CCH4	Q6CCH4_YARLI	unreviewed	Cytochrome c oxidase assembly protein COX20, mitochondrial	YALI0_C09350g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	175
Q6C5H6	Q6C5H6_YARLI	unreviewed	Arginyl-tRNA synthetase (EC 6.1.1.19)	YALI0_E17985g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	647
Q6C269	Q6C269_YARLI	unreviewed	YALI0F10307p	YALI0_F10307g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	421
B5FVB1	B5FVB1_YARLI	unreviewed	YALI0B04851p	YALI0_B04851g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	105
Q6CAZ3	Q6CAZ3_YARLI	unreviewed	ER membrane protein complex subunit 2	YALI0_C23188g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	262
Q6C8G8	Q6C8G8_YARLI	unreviewed	YALI0D19778p	YALI0_D19778g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1313
Q6C637	Q6C637_YARLI	unreviewed	YALI0E12705p	YALI0_E12705g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1250
Q6CEB3	Q6CEB3_YARLI	unreviewed	YALI0B17006p	YALI0_B17006g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	871
Q6CHN2	Q6CHN2_YARLI	unreviewed	YALI0A06974p	YALI0_A06974g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	372
Q6C5V9	Q6C5V9_YARLI	unreviewed	YALI0E14729p	YALI0_E14729g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1659
F2Z5X4	F2Z5X4_YARLI	unreviewed	YALI0C01023p	YALI0_C01023g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	377
Q6C5D3	Q6C5D3_YARLI	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	YALI0_E19008g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	549
Q6CEU6	Q6CEU6_YARLI	unreviewed	60S ribosomal protein L13	YALI0_B12826g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	207
Q6C8H9	Q6C8H9_YARLI	unreviewed	YALI0D19470p	YALI0_D19470g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	547
Q6C9Z6	Q6C9Z6_YARLI	unreviewed	YALI0D07106p	YALI0_D07106g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	585
Q6C883	Q6C883_YARLI	unreviewed	Alpha-mannosidase (EC 3.2.1.24)	YALI0_D21890g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1079
Q6C538	Q6C538_YARLI	unreviewed	YALI0E21307p	YALI0_E21307g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	493
Q6CB92	Q6CB92_YARLI	unreviewed	T-complex protein 1 subunit eta (TCP-1-eta) (CCT-eta)	YALI0_C20999g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	554
Q6C2T7	Q6C2T7_YARLI	unreviewed	YALI0F05258p	YALI0_F05258g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	334
Q6C6F9	Q6C6F9_YARLI	unreviewed	YALI0E09867p	YALI0_E09867g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	3153
B5FVE5	B5FVE5_YARLI	unreviewed	YALI0D10274p	YALI0_D10274g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	60
Q6CCI3	Q6CCI3_YARLI	unreviewed	YALI0C09163p	YALI0_C09163g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	232
Q6C1S1	Q6C1S1_YARLI	unreviewed	YALI0F13959p	YALI0_F13959g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	874
Q6C376	Q6C376_YARLI	unreviewed	YALI0F02013p	YALI0_F02013g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	329
Q6CBE1	Q6CBE1_YARLI	unreviewed	YALI0C19682p	YALI0_C19682g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	539
Q6C0G9	Q6C0G9_YARLI	unreviewed	Structural maintenance of chromosomes protein	YALI0_F24783g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1172
Q6C8L4	Q6C8L4_YARLI	unreviewed	YALI0D18700p	YALI0_D18700g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	412
Q6C6L5	Q6C6L5_YARLI	unreviewed	Triacylglycerol lipase (EC 3.1.1.3)	YALI0_E08492g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	406
Q6C0S2	Q6C0S2_YARLI	unreviewed	YALI0F22187p	YALI0_F22187g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	244
Q6CD12	Q6CD12_YARLI	unreviewed	YALI0C04620p	YALI0_C04620g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	919
Q6CE89	Q6CE89_YARLI	unreviewed	YALI0B17622p	YALI0_B17622g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	623
Q6CHS8	Q6CHS8_YARLI	unreviewed	Serine/threonine-protein phosphatase (EC 3.1.3.16)	YALI0_A05357g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	322
Q6C4P7	Q6C4P7_YARLI	unreviewed	Methyltransferase-like protein (EC 2.1.1.-)	YALI0_E24717g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	342
Q6C2Z3	Q6C2Z3_YARLI	unreviewed	YALI0F03905p	YALI0_F03905g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	369
Q6C644	Q6C644_YARLI	unreviewed	YALI0E12551p	YALI0_E12551g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	581
Q6CEI8	Q6CEI8_YARLI	unreviewed	Amidophosphoribosyltransferase (ATase) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase)	YALI0_B15304g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	546
Q6CB11	Q6CB11_YARLI	unreviewed	YALI0C22748p	YALI0_C22748g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	395
Q6CFY8	Q6CFY8_YARLI	unreviewed	YALI0B02398p	YALI0_B02398g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	804
B5RSK7	B5RSK7_YARLI	unreviewed	YALI0F04114p	YALI0_F04114g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	60
Q6C8P2	Q6C8P2_YARLI	unreviewed	YALI0D18106p	YALI0_D18106g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	593
Q6CAL0	Q6CAL0_YARLI	unreviewed	YALI0D01892p	YALI0_D01892g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	514
Q6C062	Q6C062_YARLI	unreviewed	RBR-type E3 ubiquitin transferase (EC 2.3.2.31)	YALI0_F27511g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	519
Q6CGA2	Q6CGA2_YARLI	unreviewed	YALI0A20944p	YALI0_A20944g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	299
Q6C8B8	Q6C8B8_YARLI	unreviewed	YALI0D20966p	YALI0_D20966g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	377
Q6C546	Q6C546_YARLI	unreviewed	YALI0E21087p	YALI0_E21087g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	281
Q6CD93	Q6CD93_YARLI	unreviewed	YALI0C02651p	YALI0_C02651g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	490
Q6C5I6	Q6C5I6_YARLI	unreviewed	YALI0E17765p	YALI0_E17765g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	425
Q6C0Y7	Q6C0Y7_YARLI	unreviewed	Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1)	YALI0_F20702g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	394
Q6C000	Q6C000_YARLI	unreviewed	YALI0F29249p	YALI0_F29249g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	305
Q6C724	Q6C724_YARLI	unreviewed	YALI0E04378p	YALI0_E04378g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	227
Q6CFL5	Q6CFL5_YARLI	unreviewed	YALI0B05852p	YALI0_B05852g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	461
Q6C7Y3	Q6C7Y3_YARLI	unreviewed	Ribosomal protein L15	YALI0_D24387g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	203
Q6CC49	Q6CC49_YARLI	unreviewed	YALI0C12496p	YALI0_C12496g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	245
Q6C2P4	Q6C2P4_YARLI	unreviewed	YALI0F06204p	YALI0_F06204g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	307
Q6C348	Q6C348_YARLI	unreviewed	Kinesin-like protein	YALI0_F02673g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	998
Q6CCS9	Q6CCS9_YARLI	unreviewed	YALI0C06842p	YALI0_C06842g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	251
Q6C8A8	Q6C8A8_YARLI	unreviewed	YALI0D21208p	YALI0_D21208g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	568
Q6C561	Q6C561_YARLI	unreviewed	YALI0E20757p	YALI0_E20757g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	292
Q6C4W1	Q6C4W1_YARLI	unreviewed	YALI0E23265p	YALI0_E23265g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	366
Q6CHC3	Q6CHC3_YARLI	unreviewed	YALI0A10296p	YALI0_A10296g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1330
Q6C1D4	Q6C1D4_YARLI	unreviewed	YALI0F17270p	YALI0_F17270g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	204
Q6CFX3	Q6CFX3_YARLI	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	YALI0_B02816g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	505
F2Z673	F2Z673_YARLI	unreviewed	YALI0E29095p	YALI0_E29095g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	249
Q6C9C7	Q6C9C7_YARLI	unreviewed	YALI0D12254p	YALI0_D12254g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	100
Q6C8C8	Q6C8C8_YARLI	unreviewed	YALI0D20702p	YALI0_D20702g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	759
Q6C4S2	Q6C4S2_YARLI	unreviewed	YALI0E24167p	YALI0_E24167g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	428
Q6CHQ3	Q6CHQ3_YARLI	unreviewed	YALI0A06479p	YALI0_A06479g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	514
Q6C9Z7	Q6C9Z7_YARLI	unreviewed	Glucose-6-phosphate 1-epimerase (EC 5.1.3.15)	YALI0_D07084g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	287
Q6C7D3	Q6C7D3_YARLI	unreviewed	YALI0E01760p	YALI0_E01760g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	398
