Entry	Gene names	Gene ontology IDs	Pathway	Keywords	Protein names
A0A1D8NF63	YALI1_D23524g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A371BXD7	B0I71DRAFT_167684			Coiled coil	Uncharacterized protein
A0A7H0KNX7	YALI2_E00309g	GO:0001678; GO:0004396; GO:0005524; GO:0005536; GO:0006096	PATHWAY: Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 1/4. {ECO:0000256|ARBA:ARBA00004888}.	ATP-binding;Glycolysis;Kinase;Nucleotide-binding;Transferase	Phosphotransferase (EC 2.7.1.-)
A0A7H0KPA2	YALI2_E00434g	GO:0005634; GO:0006366; GO:0046982			Protein SPT3
A0A7H0KVA6	YALI2_F00768g			ANK repeat	Ankyrin repeat-containing protein P1E11.10
A0A1D8N426	YALI1_A07608g				Uncharacterized protein
A0A1D8NBM0	YALI1_C25190g	GO:0005524; GO:0016021; GO:0042626		ATP-binding;Membrane;Nucleotide-binding;Transmembrane;Transmembrane helix;Transport	Uncharacterized protein
A0A1D8N405	YALI1_A06453g	GO:0005789; GO:0016021; GO:0030497; GO:0045703; GO:0102339; GO:0102340; GO:0102341; GO:0102342	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000256|ARBA:ARBA00005194}.	Coiled coil;Endoplasmic reticulum;Fatty acid biosynthesis;Fatty acid metabolism;Lipid biosynthesis;Lipid metabolism;Membrane;NADP;Oxidoreductase;Transmembrane;Transmembrane helix	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)
A0A371CDG4	B0I71DRAFT_162873			Coiled coil	Uncharacterized protein
A0A1D8ND50	YALI1_D04936g	GO:0000139; GO:0016021		Golgi apparatus;Membrane;Signal;Transmembrane;Transmembrane helix	Protein kish
A0A371C5I1	B0I71DRAFT_42364			Coiled coil	Uncharacterized protein
A0A371CE15	B0I71DRAFT_127196	GO:0004351; GO:0006536; GO:0016740; GO:0030170		Decarboxylase;Lyase;Pyridoxal phosphate;Transferase	Glutamate decarboxylase (EC 4.1.1.15)
A0A1H6PPN0	YALI1_E32361g	GO:0000175; GO:0003723; GO:0016075			DIS3-like exonuclease 1
A0A371C6B6	B0I71DRAFT_170761				Uncharacterized protein
A0A1D8N4Q7	YALI1_A13227g			Signal	Uncharacterized protein
A0A1D8N8V1	YALI1_B29080g	GO:0003676		SH2 domain	Cauli_VI domain-containing protein
A0A0S1VVZ7	lip13	GO:0004806; GO:0016042		Hydrolase;Lipid degradation;Lipid metabolism	Triacylglycerol lipase (EC 3.1.1.3) (Fragment)
A0A371BZR5	B0I71DRAFT_124831	GO:0004190		Aspartyl protease;Hydrolase;Protease;Signal	Aspartic peptidase domain-containing protein
A0A1D8NEG7	YALI1_D16249g	GO:0003735; GO:0005840; GO:0006412; GO:0016021		Membrane;Ribonucleoprotein;Ribosomal protein;Transmembrane;Transmembrane helix	Ribosomal_L16 domain-containing protein
A0A1D8N475	YALI1_A09021g				Uncharacterized protein
A0A7H0KCU0	YALI2_A00105g	GO:0003779; GO:0005856; GO:0005886; GO:0006897; GO:0010008; GO:0030674; GO:0042802; GO:0043130		Actin-binding;Cell membrane;Cytoplasm;Cytoskeleton;Endocytosis;Endosome;Membrane;Repeat;SH3 domain	Actin cytoskeleton-regulatory complex protein SLA1
A0A1D8NAX2	YALI1_C18258g	GO:0004335; GO:0005524; GO:0006012	PATHWAY: Carbohydrate metabolism; galactose metabolism. {ECO:0000256|ARBA:ARBA00004947}.	ATP-binding;Kinase;Nucleotide-binding;Transferase	Galactokinase (EC 2.7.1.6) (Galactose kinase)
A0A371C4X7	B0I71DRAFT_132681			ANK repeat	Uncharacterized protein
A0A1D8NEE1	YALI1_D16329g				Uncharacterized protein
A0A371CBI5	B0I71DRAFT_128997	GO:0016021		Membrane;Transmembrane;Transmembrane helix	GPR1/FUN34/yaaH family-domain-containing protein
A0A371CC55	B0I71DRAFT_128396	GO:0003712; GO:0006357; GO:0016592		Nucleus;Repressor;Transcription;Transcription regulation	Mediator complex subunit 12 (Mediator of RNA polymerase II transcription subunit 12)
A0A1D8N8F9	YALI1_B24758g				Uncharacterized protein
A0A371C749	B0I71DRAFT_35293	GO:0004326; GO:0005524; GO:0005743; GO:0005759; GO:0006730; GO:0046872	PATHWAY: Cofactor biosynthesis; tetrahydrofolylpolyglutamate biosynthesis. {ECO:0000256|ARBA:ARBA00005150, ECO:0000256|PIRNR:PIRNR038895}.	ATP-binding;Ligase;Magnesium;Metal-binding;Nucleotide-binding;One-carbon metabolism	Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)
A0A371C312	B0I71DRAFT_141764				Uncharacterized protein
A0A1D8NA51	YALI1_C10787g				Uncharacterized protein
A0A371C497	B0I71DRAFT_120260	GO:0008324; GO:0016021		Membrane;Transmembrane;Transmembrane helix	Sodium/calcium exchanger protein-domain-containing protein
A0A1D8N4D6	YALI1_A10448g				Uncharacterized protein
A0A371C4K7	B0I71DRAFT_141228	GO:0003723		Repeat	Armadillo-type protein
A0A7H0KHW0	YALI2_C00529g	GO:0005737; GO:0008239; GO:0046872; GO:0070006		Aminopeptidase;Cytoplasm;Hydrolase;Metal-binding;Metalloprotease;Protease;Zinc	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl peptidase III)
A0A7H0KVK5	YALI2_F00867g				Uncharacterized protein
A0A371BXL1	B0I71DRAFT_169424	GO:0016021; GO:0022857		Membrane;Transmembrane;Transmembrane helix	Major facilitator superfamily domain-containing protein
A0A1D8N5U6	YALI1_B00719g				Uncharacterized protein
A0A371BXP7	B0I71DRAFT_169324				Uncharacterized protein
A0A1D8NL65	YALI1_E40647g				Uncharacterized protein
A0A371C2E5	B0I71DRAFT_176208	GO:0003677; GO:0005524; GO:0005634; GO:0006281; GO:0043138; GO:0140603		ATP-binding;DNA damage;DNA repair;Helicase;Hydrolase;Nucleotide-binding	ATP-dependent DNA helicase (EC 3.6.4.12)
A0A1D8N9G2	YALI1_C04143g	GO:0003714; GO:0006749; GO:0006808; GO:0042128		Nitrate assimilation	Protein URE2
A0A1D8NA14	YALI1_C09950g	GO:0003743			SUI1 domain-containing protein
A0A7H0KKE3	YALI2_D00200g			ANK repeat;Coiled coil;Repeat	BTB/POZ domain-containing protein 3
A0A371CDP9	COQ3 B0I71DRAFT_127507	GO:0004395; GO:0006744; GO:0008425; GO:0008689; GO:0031314; GO:0032259; GO:0061543	PATHWAY: Cofactor biosynthesis; ubiquinone biosynthesis. {ECO:0000256|HAMAP-Rule:MF_03190}.	Membrane;Methyltransferase;Mitochondrion;Mitochondrion inner membrane;S-adenosyl-L-methionine;Transferase;Ubiquinone biosynthesis	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase) (3-demethylubiquinol 3-O-methyltransferase) (3-demethylubiquinone-6 3-O-methyltransferase) (Hexaprenyldihydroxybenzoate methyltransferase) (Polyprenyldihydroxybenzoate methyltransferase) (DHHB methyltransferase) (DHHB-MT) (DHHB-MTase) (EC 2.1.1.114) (EC 2.1.1.64)
A0A371C283	B0I71DRAFT_142029	GO:0003700; GO:0005634; GO:0043565		DNA-binding;Nucleus	Fork head domain-domain-containing protein
A0A1D8NAF4	YALI1_C14024g				Uncharacterized protein
A0A1D8NPA6	YALI1_F27343g	GO:0005789; GO:0006506; GO:0016021; GO:0051377	PATHWAY: Glycolipid biosynthesis; glycosylphosphatidylinositol-anchor biosynthesis. {ECO:0000256|ARBA:ARBA00004687, ECO:0000256|RuleBase:RU367138}.	Endoplasmic reticulum;GPI-anchor biosynthesis;Glycoprotein;Membrane;Transferase;Transmembrane;Transmembrane helix	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-)
A0A1D8N637	YALI1_B02991g				Uncharacterized protein
A0A1D8NIP5	YALI1_E19795g	GO:0005778; GO:0007031		Peroxisome;Peroxisome biogenesis	Peroxisomal membrane protein PEX16
A0A1D8NP20	YALI1_F24615g				Uncharacterized protein
A0A1D8N8A8	YALI1_B23579g			Coiled coil;Signal	Uncharacterized protein
A0A371CB31	B0I71DRAFT_128908			Coiled coil	Uncharacterized protein
A0A7H0KKB2	YALI2_D00169g	GO:0005789; GO:0008526; GO:0046872		Cytoplasm;Endoplasmic reticulum;Heme;Iron;Lipid transport;Membrane;Metal-binding;Microsome;Transport	Phosphatidylinositol transfer protein SFH5 (PITP SFH5)
A0A7H0KDS3	YALI2_A00438g				Rhodanese domain-containing protein
A0A371C7Y0	B0I71DRAFT_130911			Coiled coil	Uncharacterized protein
A0A7H0KN14	YALI2_D01121g				Transcriptional protein SWT1
A0A7H0KVJ5	YALI2_F00857g	GO:0016021; GO:0046513; GO:0050291		Acyltransferase;Glycoprotein;Membrane;Transferase;Transmembrane;Transmembrane helix	Sphingosine N-acyltransferase LAC1 (EC 2.3.1.24)
A0A371CFP0	B0I71DRAFT_18343	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
Q9P8H1					Uncharacterized protein (Fragment)
A0A1D8N5W5	YALI1_B01268g				Uncharacterized protein
A0A7H0KD19	YALI2_A00184g	GO:0003723; GO:0003724; GO:0005524; GO:0006401; GO:0016787		ATP-binding;Helicase;Hydrolase;Nucleotide-binding	Antiviral helicase SKI2 (EC 3.6.4.13)
A0A1D8NHL7	YALI1_E10247g				Uncharacterized protein
A0A371CCJ0	B0I71DRAFT_128200	GO:0005778; GO:0007031		Peroxisome;Peroxisome biogenesis	Peroxisomal membrane protein PEX16
A0A7H0KTC2	YALI2_F00084g	GO:0004386; GO:0005524; GO:0005634; GO:0016787; GO:0070615		ATP-binding;Coiled coil;Helicase;Hydrolase;Nucleotide-binding;Nucleus	ATP-dependent helicase IRC5 (EC 3.6.4.-)
A0A7H0KMC5	YALI2_D00882g	GO:0043892		Oxidoreductase	NADPH-dependent methylglyoxal reductase GRP2 (EC 1.1.1.283)
A0A7H0KGS6	YALI2_C00145g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8NNN7	YALI1_F20547g				Uncharacterized protein
A0A1D8NH90	YALI1_E06441g				Uncharacterized protein
A0A1D8NB96	YALI1_C21241g	GO:0005737		Coiled coil;Cytoplasm;Stress response	Stress response protein NST1
A0A1D8NID1	YALI1_E16230g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A7H0KSC5	YALI2_E01507g			Signal	Uncharacterized protein
A0A7H0KI83	YALI2_C00652g				Uncharacterized protein
A0A7H0KRM1	YALI2_E01253g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A371C027	B0I71DRAFT_87781	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein (Fragment)
A0A371C2T8	B0I71DRAFT_133990				Uncharacterized protein
A0A371C2L8	B0I71DRAFT_166087			Signal	Uncharacterized protein
A0A7H0KVR1	YALI2_F00923g	GO:0008152; GO:0016799		Glycosidase;Hydrolase	IU_nuc_hydro domain-containing protein
A0A7H0KNY2	YALI2_E00314g	GO:0005375; GO:0006878; GO:0016021		Copper;Copper transport;Ion transport;Membrane;Transmembrane;Transmembrane helix;Transport	Copper transporter
A0A7H0KRN2	YALI2_E01264g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Pheromone-regulated membrane protein 10
A0A7H0KLU1	YALI2_D00698g	GO:0003676; GO:0003899; GO:0005730; GO:0006351; GO:0008270; GO:0042779		DNA-directed RNA polymerase;Metal-binding;Nucleus;Transcription;Zinc;Zinc-finger	DNA-directed RNA polymerase subunit
A0A371C7A8	B0I71DRAFT_33650	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A7H0KNW0	YALI2_E00292g	GO:0072546		Endoplasmic reticulum;Glycoprotein;Membrane;Signal;Transmembrane;Transmembrane helix	ER membrane protein complex subunit 1
A0A7H0KM37	YALI2_D00794g				Uncharacterized protein
A0A371C931	B0I71DRAFT_164262				Uncharacterized protein
A0A7H0KLZ7	YALI2_D00754g	GO:0000246; GO:0016021; GO:0016126		Lipid biosynthesis;Lipid metabolism;Membrane;Oxidoreductase;Steroid biosynthesis;Steroid metabolism;Sterol biosynthesis;Sterol metabolism;Transmembrane;Transmembrane helix	Delta(24(24(1)))-sterol reductase (EC 1.3.1.71)
A0A7H0KFT8	YALI2_B00460g				Uncharacterized protein
A0A371CB83	B0I71DRAFT_128971				Uncharacterized protein
A0A7H0KJK5	YALI2_C01124g	GO:0000124; GO:0003712			Transcription factor SPT20
A0A7H0KS38	YALI2_E01420g	GO:0016491		Oxidoreductase	Proline dehydrogenase (EC 1.5.5.2)
A0A7H0KRS3	YALI2_E01305g				Uncharacterized protein
A0A7H0KLX3	YALI2_D00730g	GO:0016021		Membrane;Signal;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A7H0KV64	YALI2_F00726g				Uncharacterized protein
A0A7H0KDB7	YALI2_A00282g	GO:0003755		Isomerase	Peptidylprolyl isomerase (EC 5.2.1.8)
A0A7H0KSW6	YALI2_E01698g	GO:0005267; GO:0016021		Coiled coil;Ion channel;Ion transport;Membrane;Transmembrane;Transmembrane helix;Transport	Outward-rectifier potassium channel TOK1
A0A7H0KRU6	YALI2_E01328g	GO:0003723; GO:0005739; GO:0006417		RNA-binding;Translation regulation	ATPase expression protein 2, mitochondrial
A0A7H0KV05	YALI2_F00667g	GO:0016021; GO:0046873		Membrane;Transmembrane;Transmembrane helix	Zinc-regulated transporter 1
A0A7H0KJC4	YALI2_C01043g	GO:0016021		Coiled coil;Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A7H0KPF2	YALI2_E00484g			Coiled coil	Uncharacterized protein
A0A7H0KPA0	YALI2_E00432g	GO:0004460; GO:0020037; GO:0046872		Coiled coil;FMN;Flavoprotein;Heme;Iron;Metal-binding;Oxidoreductase	Cytochrome b2 (EC 1.1.2.3)
A0A7H0KVC9	YALI2_F00791g	GO:0004852; GO:0006780; GO:0006782	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 3/4. {ECO:0000256|ARBA:ARBA00004772}.	Lyase	Hydroxymethylbilane hydrolyase [cyclizing] (EC 4.2.1.75) (Uroporphyrinogen-III cosynthase)
A0A7H0KF65	YALI2_B00236g				Uncharacterized protein
A0A7H0KST4	YALI2_E01666g				Uncharacterized protein
A0A371C5P3	B0I71DRAFT_39026	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A7H0KJ32	YALI2_C00951g	GO:0005634; GO:0006270; GO:0007049; GO:0051301		Cell cycle;Cell division;Coiled coil;DNA replication;Nucleus	Cell division control protein 45
A0A7H0KGL9	YALI2_C00088g				Uncharacterized protein
A0A7H0KNK4	YALI2_E00186g			Coiled coil	Uncharacterized protein
A0A7H0KH26	YALI2_C00245g	GO:0005634; GO:0007049; GO:0008156; GO:0016853		Cell cycle;DNA replication inhibitor;Isomerase;Nucleus	Topoisomerase 1-associated factor 1
A0A7H0KTM0	YALI2_F00182g	GO:0004371; GO:0005524; GO:0019588; GO:0050354	PATHWAY: Polyol metabolism; glycerol fermentation; glycerone phosphate from glycerol (oxidative route): step 2/2. {ECO:0000256|ARBA:ARBA00004778}.	ATP-binding;Glycerol metabolism;Kinase;Nucleotide-binding;Transferase	Dihydroxyacetone kinase 2 (EC 2.7.1.28)
A0A7H0KDN2	YALI2_A00397g	GO:0004134; GO:0004135; GO:0005737; GO:0005978; GO:0005980; GO:0102500		Cytoplasm;Glycogen biosynthesis;Glycosidase;Glycosyltransferase;Hydrolase;Multifunctional enzyme;Transferase	4-alpha-glucanotransferase (EC 2.4.1.25) (EC 3.2.1.33) (Amylo-alpha-1,6-glucosidase) (Dextrin 6-alpha-D-glucosidase) (Glycogen debrancher) (Glycogen debranching enzyme) (Oligo-1,4-1,4-glucantransferase)
A0A7H0KF83	YALI2_B00254g	GO:0016021		Disulfide bond;Membrane;Signal;Transmembrane;Transmembrane helix	NPC intracellular cholesterol transporter 1-related protein 1
A0A7H0KTD0	YALI2_F00092g				Uncharacterized protein
A0A7H0KCN2	YALI2_A00047g				Uncharacterized protein
A0A7H0KF09	YALI2_B00180g				Uncharacterized protein
A0A1D8N548	YALI1_A16950g				Uncharacterized protein
A0A1D8NJT9	YALI1_E28855g				Uncharacterized protein
A0A7H0KTF6	YALI2_F00118g	GO:0002224; GO:0004888; GO:0006955; GO:0016021		Coiled coil	Septation initiation network scaffold protein cdc11
A0A371BZI7	B0I71DRAFT_135879			Coiled coil	Uncharacterized protein (Fragment)
A0A1D8NF46	YALI1_D22932g				Uncharacterized protein
A0A1D8NKS4	YALI1_E37441g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8NQN3	YALI1_F38864g				Uncharacterized protein
A0A1D8NIS3	YALI1_E20334g				Uncharacterized protein
A0A371BZ05	B0I71DRAFT_136111				Uncharacterized protein
A0A1D8NJV7	YALI1_E29433g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	ThrE domain-containing protein
A0A1D8ND78	YALI1_D05594g	GO:0003700		Coiled coil	BZIP domain-containing protein
A0A1D8NF10	YALI1_D21986g				Uncharacterized protein
A0A1D8NKZ6	YALI1_E38791g				Uncharacterized protein
A0A371BXB8	B0I71DRAFT_137100	GO:0005634; GO:0006281; GO:0006310; GO:0030915		DNA damage;DNA recombination;DNA repair;Nucleus	Non-structural maintenance of chromosomes element 4
A0A1D8NIS5	YALI1_E19772g				Uncharacterized protein
A0A7H0KVR0	YALI2_F00922g				Uncharacterized protein
A0A7H0KMD0	YALI2_D00887g	GO:0005743; GO:0006099; GO:0008177; GO:0022900; GO:0050660	PATHWAY: Carbohydrate metabolism; tricarboxylic acid cycle; fumarate from succinate (eukaryal route): step 1/1. {ECO:0000256|RuleBase:RU362051}.	Electron transport;FAD;Flavoprotein;Membrane;Oxidoreductase;Transit peptide;Transport;Tricarboxylic acid cycle;Ubiquinone	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial (EC 1.3.5.1)
A0A371C4W1	B0I71DRAFT_119782	GO:0005634; GO:0006606		Coiled coil;Nucleus	TPR_MLP1_2 domain-containing protein
A0A371C6F0	B0I71DRAFT_153002	GO:0000981; GO:0003677; GO:0005737; GO:0005885; GO:0006351; GO:0008270; GO:0030041; GO:0034314		Cytoplasm;Metal-binding;Zinc	Zn(2)-C6 fungal-type domain-containing protein
A0A371CEJ0	B0I71DRAFT_112426				Uncharacterized protein
A0A1D8NAH5	YALI1_C14498g	GO:0005774; GO:0016021		Membrane;Transmembrane;Transmembrane helix	SPX domain-containing protein
A0A7H0KIH4	YALI2_C00743g	GO:0047216		Glycosyltransferase;Transferase	Galactinol synthase 1 (EC 2.4.1.123)
A0A1D8NCR6	YALI1_D01497g				Uncharacterized protein
A0A1D8NFN3	YALI1_D27718g	GO:0005819; GO:0005874; GO:0007049; GO:0051301		Cell cycle;Cell division;Microtubule;Mitosis	Protein STU1
A0A1D8N719	YALI1_B11878g				Uncharacterized protein
A0A7H0KJF5	YALI2_C01074g	GO:0004306; GO:0006646	PATHWAY: Lipid metabolism. {ECO:0000256|ARBA:ARBA00005189}.; PATHWAY: Phospholipid metabolism; phosphatidylethanolamine biosynthesis; phosphatidylethanolamine from ethanolamine: step 2/3. {ECO:0000256|ARBA:ARBA00024191}.	Nucleotidyltransferase;Transferase	CTP:phosphoethanolamine cytidylyltransferase (EC 2.7.7.14)
A0A371C463	B0I71DRAFT_47059			Signal	Uncharacterized protein
A0A1D8NLJ6	YALI1_F02942g	GO:0005869			Uncharacterized protein
A0A371C9F8	B0I71DRAFT_163969	GO:0005634		Coiled coil;Nucleus	Uncharacterized protein
A0A1D8N626	YALI1_B02717g	GO:0000049		RNA-binding;tRNA-binding	tRNA-binding domain-containing protein
A0A1D8NM77	YALI1_F09161g				Uncharacterized protein
Q7ZA17	hrd1	GO:0000836; GO:0016021; GO:0030433; GO:0046872; GO:0061630	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000256|ARBA:ARBA00004906}.	Endoplasmic reticulum;Membrane;Metal-binding;Signal;Transferase;Transmembrane;Transmembrane helix;Ubl conjugation pathway;Zinc;Zinc-finger	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
A0A1D8N7V0	YALI1_B19490g	GO:0005739; GO:0015039		FAD;Flavoprotein;Mitochondrion;NADP;Oxidoreductase	NADPH:adrenodoxin oxidoreductase, mitochondrial (EC 1.18.1.6)
A0A371C736	B0I71DRAFT_35255			Coiled coil	Uncharacterized protein
A0A371C3Y5	B0I71DRAFT_133895	GO:0005789; GO:0030246		Disulfide bond;Endoplasmic reticulum;Lectin;Signal	Protein OS-9 homolog
A0A371C296	B0I71DRAFT_134237			Metal-binding;Zinc;Zinc-finger	C2H2-type domain-containing protein
A0A7H0KH53	YALI2_C00272g	GO:0016874		Ligase	4-coumarate--CoA ligase-like 8 (EC 6.2.1.-)
A0A1D8NEG0	YALI1_D16879g				Uncharacterized protein
A0A1D8NFF4	YALI1_D25877g			Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A371CD81	B0I71DRAFT_113642	GO:0016491; GO:0020037; GO:0046872		Coiled coil;FMN;Flavoprotein;Heme;Iron;Metal-binding	FMN-dependent dehydrogenase-domain-containing protein
A0A371CBQ6	B0I71DRAFT_128618				Uncharacterized protein
A0A1D8N7N6	YALI1_B17853g				Uncharacterized protein
A0A1D8NJ98	YALI1_E24180g				Uncharacterized protein
A0A1D8NF61	YALI1_D23612g				Uncharacterized protein
A0A1D8NC86	YALI1_C30665g				Uncharacterized protein
A0A1D8N3X8	YALI1_A06102g				Uncharacterized protein
A0A1D8NID6	YALI1_E16968g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8N526	YALI1_A16826g				Uncharacterized protein
A0A7H0KM09	YALI2_D00766g	GO:0005975; GO:0016020; GO:0016126; GO:0016906; GO:0030259; GO:0102202; GO:0102203; GO:0102205		Glycosyltransferase;Lipid biosynthesis;Lipid metabolism;Steroid biosynthesis;Steroid metabolism;Sterol biosynthesis;Sterol metabolism;Transferase	Sterol 3-beta-glucosyltransferase (EC 2.4.1.173) (Autophagy-related protein 26)
A0A1D8NI10	YALI1_E14164g	GO:0004499; GO:0016021; GO:0050660; GO:0050661		FAD;Flavoprotein;Membrane;Oxidoreductase;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8N5V4	YALI1_B00819g				Uncharacterized protein
A0A7H0KK93	YALI2_D00150g	GO:0016620		Coiled coil;Oxidoreductase	Aldehyde dehydrogenase-like protein (EC 1.2.1.-)
A0A1D8NP05	YALI1_F23963g				Uncharacterized protein
A0A1D8N597	YALI1_A18166g	GO:0005524; GO:0042626		ATP-binding;Coiled coil;Nucleotide-binding	Uncharacterized protein
A0A7H0KJC8	YALI2_C01047g	GO:0005886; GO:0015103; GO:0015297; GO:0016021		Membrane;Transmembrane;Transmembrane helix	Arsenite resistance protein ArsB
A0A371CBJ0	B0I71DRAFT_128746	GO:0003735; GO:0005840; GO:0006412			Translation protein SH3-like domain-containing protein
A0A1D8N8V8	YALI1_B29360g				Uncharacterized protein
A0A1H6PW60	YALI1_F18897g	GO:0016301; GO:0032958		Kinase;Transferase	Kinase (EC 2.7.-.-)
A0A371C409	B0I71DRAFT_133271	GO:0016491		Coiled coil	Uncharacterized protein
A0A1D8NE95	YALI1_D15063g	GO:0016021; GO:0020037; GO:0046872		Heme;Iron;Membrane;Metal-binding;Transmembrane;Transmembrane helix	Cytochrome b5 heme-binding domain-containing protein
A0A371C9Y4	B0I71DRAFT_129832	GO:0006506; GO:0016021; GO:0016787		Membrane;Transmembrane;Transmembrane helix	Metallo-dependent phosphatase-like protein
A0A1D8N7N5	PIF1 YALI1_B17050g	GO:0000002; GO:0000723; GO:0005524; GO:0005634; GO:0005739; GO:0006281; GO:0006310; GO:0010521; GO:0032211; GO:0043139; GO:0051880; GO:0140603		ATP-binding;DNA damage;DNA recombination;DNA repair;DNA-binding;Helicase;Hydrolase;Mitochondrion;Nucleotide-binding;Nucleus	ATP-dependent DNA helicase PIF1 (EC 3.6.4.12) (DNA repair and recombination helicase PIF1)
A0A1D8N6W0	YALI1_B09994g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8N366	YALI1_A00135g				Uncharacterized protein
A0A1D8NHK0	YALI1_E09705g			Signal	Uncharacterized protein
G1C1M2		GO:0005507; GO:0006811; GO:0052716		Copper;Oxidoreductase;Signal	Laccase (EC 1.10.3.2) (Fragment)
A0A7H0KEJ9	YALI2_B00020g	GO:0006081; GO:0016620		Oxidoreductase	Aldehyde dehydrogenase
A0A1D8N6Y8	YALI1_B10782g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8NMX2	YALI1_F14303g				Uncharacterized protein
A0A371C6F2	B0I71DRAFT_97796	GO:0004100; GO:0006031; GO:0016021		Membrane;Transmembrane;Transmembrane helix	Chitin synthase (EC 2.4.1.16)
A0A1D8N6E6	YALI1_B05971g	GO:0006506; GO:0016021; GO:0016787		Membrane;Transmembrane;Transmembrane helix	Metallophos domain-containing protein
A0A1D8N9X3	YALI1_C08600g	GO:0004725; GO:0007049; GO:0051301; GO:1902751		Cell cycle;Cell division;Coiled coil;Hydrolase;Mitosis;Protein phosphatase	M-phase inducer phosphatase (EC 3.1.3.48)
A0A371C6N9	B0I71DRAFT_82366				Uncharacterized protein
A0A371C5S7	B0I71DRAFT_132232	GO:0003972; GO:0005524; GO:0006388; GO:0008081; GO:0051730		Ligase;tRNA processing	tRNA ligase (EC 6.5.1.3)
A0A7H0KST6	YALI2_E01668g	GO:0000049; GO:0005634; GO:0005737; GO:0031267; GO:0071528		Cytoplasm;Nucleus;RNA-binding;Transport;tRNA-binding	Exportin-T (Exportin(tRNA)) (tRNA exportin)
A0A371BWY4	B0I71DRAFT_73060	GO:0003676; GO:0005524; GO:0016787		ATP-binding;Hydrolase;Nucleotide-binding	P-loop containing nucleoside triphosphate hydrolase protein (Fragment)
A0A1D8NPH9	YALI1_F29078g	GO:0005524; GO:0016021; GO:0019829		ATP-binding;Membrane;Nucleotide-binding;Translocase;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8NCB3	YALI1_C31308g				Uncharacterized protein
A0A371C3K0	B0I71DRAFT_133490	GO:0003723		Coiled coil;RNA-binding	RRM domain-containing protein
A0A371C4B1	B0I71DRAFT_171436				Uncharacterized protein
A0A1D8N878	YALI1_B21855g				DUF1752 domain-containing protein
A0A371C820	B0I71DRAFT_174321				Zds_C domain-containing protein
A0A1D8NE39	YALI1_D14058g	GO:0010181; GO:0016491; GO:0020037; GO:0046872; GO:0051539		4Fe-4S;Coiled coil;Heme;Iron;Iron-sulfur;Metal-binding;Oxidoreductase	Flavodoxin-like domain-containing protein
A0A1D8NEZ5	YALI1_D21795g				Uncharacterized protein
A0A371C628	B0I71DRAFT_146952				Uncharacterized protein
A0A1D8N6X4	YALI1_B10437g	GO:0016021; GO:0055085		Membrane;Transmembrane;Transmembrane helix;Transport	Uncharacterized protein
A0A1D8NCZ4	YALI1_D03831g	GO:0003924; GO:0005525		GTP-binding;Nucleotide-binding	Uncharacterized protein
